Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Canonical smiles,MinAbsEStateIndex,qed,MaxAbsPartialCharge,FpDensityMorgan1,BCUT2D_MRHI,BalabanJ,Chi3n,Ipc,Kappa3,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA8,PEOE_VSA9,SMR_VSA5,SMR_VSA6,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA4,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NOCount,NumAliphaticHeterocycles,NumAromaticRings,NumHDonors,MolLogP,fr_Ar_N,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_methoxy,fr_nitro,fr_para_hydroxylation,fr_unbrch_alkane
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,C=CCCC,1.1527777777777777,0.4356038269849662,0.1030831514746518,1.8,4.625098390511273,2.4017152226171965,0.4927992798267443,11.245112497836532,3.740000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578935683598497,0.0,0.0,19.765380445542643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,6.076020106833881,13.502672883289122,0.0,0.0,0.0,5.690972222222221,0.0,0,0,0,0,1.9725,0,1,0,0,0,0,0,0,0,0,0,0
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,CCC1(c2ccccc2)C(=O)NCNC1=O,0.2145339663643235,0.7116448391760646,0.3374657196198992,1.125,6.1184413338946975,2.524396870109536,3.0700477997819497,5356.941098043583,1.3773138680608406,0.0,5.41499046939678,11.814359458703011,0.0,0.0,0.0,0.0,0.0,0.0,6.668691188899143,18.75954929201341,6.668691188899143,0.0,0.0,15.004064837540422,0.0,18.483050647602152,6.4208216229260096,5.563451491696996,0.0,37.255572541998674,10.633577208012662,0.0,-0.3271527777777776,-0.435277777777777,2.059256188586546,0.0,4,1,1,2,0.5378999999999999,0,0,2,0,0,0,0,0,0,0,0,0
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,CCCCCCCCCCCCCC,1.3720414201183433,0.3731035838174365,0.0653823832227926,0.3571428571428571,4.468458977696503,2.7847655305545773,2.957106781186547,1347.912253342112,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.89733387449338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,4.570893798184216,0.0,0,0,0,0,5.707400000000006,0,0,0,0,0,0,0,0,0,0,0,9
2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,CCC(C)CO,0.3298611111111111,0.5340885234757722,0.3960991949947389,1.6666666666666667,4.410641437131018,2.7541847860376616,1.0085970557673118,19.80026905978025,2.212525252525253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,20.268296022307258,6.606881964512918,0.0,0.0,0.0,5.917906046161393,0.0,12.52478801067431,6.4208216229260096,0.0,6.923737199690624,6.923737199690624,0.0,0.0,0.4907407407407405,4.427962962962964,0.0,1,0,0,1,1.0248,0,0,0,0,0,0,0,0,0,0,0,0
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,N#Cc1ccccc1,0.7152777777777779,0.4884445703746373,0.1924370514343749,1.125,5.267807767357365,3.049388908161901,0.9028885132222204,91.36757727918736,0.8545400393598551,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,11.63267280448927,0.0,0.0,0.0,0.0,0.0,11.33111286753076,0.0,5.563451491696996,0.0,12.13273413692322,24.268322518177104,0.0,0.0,0.7152777777777779,0.0,0.0,0.0,1,0,1,0,1.55828,0,0,0,0,0,0,0,0,0,0,0,0
Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0.2215664630049549,0.7176158745437983,0.4055367547130938,1.2105263157894737,8.072941405037232,2.9903765648588534,2.144165703199952,10959.548457284374,5.146214182684139,5.824404497999927,0.0,5.879988336435371,0.0,6.718607232363179,4.9839785209472085,4.9839785209472085,0.0,29.485057198110116,13.213763929025836,40.53659204461451,13.213763929025836,0.0,5.879988336435371,20.85435041206228,6.923737199690624,5.917906046161393,19.093752265461205,11.518332492848389,6.06636706846161,34.61868599845312,9.967957041894415,16.555021730914586,0.8363397581254726,1.365992640883514,7.777433757453599,0.0,5,0,1,0,3.5847200000000026,2,0,0,1,0,0,0,0,0,0,0,0
2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,CCCCCCCCCC(C)O,0.0966279551944235,0.5554538397325264,0.3934192690333077,0.9166666666666666,4.488950725105624,2.817017140820483,2.2254521152935984,402.8484647807608,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103966387748303,71.31801377053763,0.0,0.0,0.0,0.0,0.0,6.103966387748303,0.0,6.4208216229260096,0.0,6.923737199690624,6.923737199690624,0.0,0.0,0.0,4.11559876881576,0.0,1,0,0,1,3.5079000000000025,0,0,0,0,0,0,0,0,0,0,0,5
"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,0.3781380700428323,0.5165015321569533,0.0842881560063217,0.6470588235294118,6.466085616217293,2.721523075224646,2.244460964284339,6465.872640031887,2.669225413029379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.172169610876644,15.067899941223978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24006955210062,0.0,30.33183534230805,0.0,0.0,0.0,1.3158024691358037,0.0,0.0,0.0,0,0,2,0,6.620600000000001,0,0,0,0,0,0,5,0,0,0,0,0
Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,0.0202314814814812,0.8008110582480527,0.3283181347642608,1.0,5.216601789468273,2.100410447007261,4.111252664532139,14905.256944777157,1.7543082618514452,0.0,0.0,0.0,5.559266895052007,5.689743398203474,4.794537184071822,0.0,0.0,17.299220315693418,0.0,57.40841381255605,0.0,0.0,0.0,12.84164324585202,0.0,17.290851122403442,0.0,56.20313084702754,0.0,0.0,4.9839785209472085,1.4893981481481482,1.525863803854876,0.0,0.0,0.0,4,0,1,1,1.5305,2,0,0,1,0,0,0,0,0,0,0,0
Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,CCOP(=S)(OCC)SCSCC,0.6399498456790123,0.3747970901391776,0.3219490861050248,1.1538461538461535,8.690478004792654,3.845934399891641,1.0727026450071562,585.2206443594829,7.2283750941897615,0.0,0.0,5.693537600778055,0.0,0.0,0.0,11.761884949391115,0.0,5.084885590567569,13.213763929025836,20.771211599071872,24.051503126340197,0.0,0.0,20.85435041206228,0.0,0.0,13.213763929025836,10.837739197314358,11.38172479611316,25.609359348772365,6.923737199690624,10.939557823129253,-2.0198688271604945,1.1116898148148149,7.318856292517006,0.0,2,0,0,0,3.727700000000003,0,0,0,0,0,0,0,0,0,0,0,1
Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1,CCOc1ccc(NC(C)=O)cc1,0.065592692323843,0.7706788668096719,0.4938874337901201,1.3846153846153846,5.881091893908425,2.635972640607562,1.485689113850501,831.1135117830083,3.15128754635011,5.749511833283905,0.0,5.907179729351506,0.0,0.0,0.0,0.0,0.0,12.611123474374184,6.606881964512918,13.847474399381248,11.923670568519247,5.687386274683562,5.749511833283905,4.794537184071822,0.0,5.907179729351506,6.606881964512918,11.436898107967467,0.0,31.18920547353706,5.316788604006331,5.253109410430839,0.7879195011337872,0.7507054936172004,4.06713117808852,0.0,3,0,1,1,2.0437,0,0,1,0,0,1,0,0,0,0,0,0
Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],0.1279608371126226,0.5059504568728941,0.4184002236130266,1.181818181818182,5.856883845075477,3.926692551025889,3.0576105406152245,34485.154316859625,3.0185825942806104,5.687386274683562,5.687386274683562,0.0,5.687386274683562,11.863684792127035,0.0,13.17124514302446,0.0,19.15587988028676,15.410073589332338,20.02377291682472,23.723090019837816,35.92079024175871,0.0,6.176298517443475,20.228636537531145,19.15587988028676,0.0,0.0,13.847474399381248,0.0,0.0,38.67995323129252,-0.0850930650037791,0.0,3.3765795068027207,0.0,8,0,1,1,2.9502000000000006,0,0,0,0,0,0,3,0,0,2,0,0
1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,CCCCCCCO,0.364795918367347,0.5441914935658748,0.3963765693422926,1.0,4.386296220340864,2.53006045688352,1.2616672736016925,61.4996122651069,5.959999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,0.0,39.02784531432067,6.606881964512918,0.0,0.0,0.0,0.0,0.0,6.606881964512918,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,0.0,2.5581944444444447,0.0,1,0,0,1,1.9491,0,0,0,0,0,0,0,0,0,0,0,3
Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.3512962962962962,0.5624722357827983,0.33872132070702,1.3076923076923077,5.680268983790734,3.21185381303522,2.029396145521518,1349.0443514632882,0.8507940839640471,5.516700717616262,5.647177220767728,0.0,5.559266895052008,5.689743398203474,9.77851570501903,0.0,0.0,14.09534396535438,6.3273200747645415,0.0,0.0,0.0,0.0,14.09534396535438,0.0,11.24901029325548,11.16387793838399,4.567099647791355,7.04767198267719,0.0,9.967957041894415,2.368796296296296,0.0119444444444452,0.0,0.0,3.0098148148148147,6,0,2,1,-1.0397000000000003,4,0,0,1,0,0,0,0,0,0,0,0
Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,CCCCC1(CC)C(=O)NC(=O)NC1=O,0.4146296296296294,0.6807977437487818,0.3276318689524743,1.0666666666666669,6.186144714414349,2.891339554138367,2.8840749148158054,1891.1610535187276,2.004730996151489,5.41499046939678,0.0,11.814359458703011,0.0,6.031114512338072,4.794537184071822,0.0,0.0,0.0,0.0,39.53076089108528,0.0,4.794537184071822,0.0,9.589074368143644,5.41499046939678,0.0,12.84164324585202,12.84164324585202,6.923737199690624,6.923737199690624,10.633577208012662,0.0,-1.0516666666666667,-0.9311111111111106,3.775560437137818,0.0,5,1,0,2,0.9389999999999998,0,0,4,0,0,0,0,0,0,0,0,0
"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.2080045351473927,0.6193259253894802,0.1147600193886465,0.6111111111111112,6.585453698182298,2.5095731194515967,2.454775846619893,12051.94151834261,3.211631271815919,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61837115755192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491468174157927,10.045266627482652,16.70000751346326,24.26546827384644,24.26546827384644,0.0,0.2080045351473927,2.564918115394307,0.0,0.0,0.0,0,0,2,0,6.187900000000003,0,0,0,0,0,0,4,0,0,0,0,0
Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,0.0819458616780042,0.4383150695699537,0.4689954278205915,1.181818181818182,5.68457188627173,2.9549874302986416,1.7121251317525816,266.8494448857759,7.365875295682101,0.0,0.0,0.0,0.0,5.969305287951849,0.0,0.0,0.0,6.4208216229260096,7.109797541277533,45.448666937246685,7.109797541277533,0.0,0.0,9.53140013787187,0.0,5.969305287951849,6.4208216229260096,12.84164324585202,0.0,0.0,11.660600153490671,4.517807067271353,0.0,-0.0819458616780042,2.180859945830184,1.438865347064752,2,0,0,0,2.5199000000000007,0,0,0,0,1,1,0,0,1,0,0,3
"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,1.1428514739229023,0.5831204703949601,0.0612941353776013,0.8,5.215707006356909,2.7972512629697874,1.8394679478451756,237.587417309747,1.598288065805947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.689117645233267,0.0,0.0,0.0,12.84164324585202,0.0,0.0,0.0,12.84164324585202,0.0,0.0,38.112942673227685,0.0,2.855925925925926,0.0,4.3630007558578985,0.0,0,0,1,0,2.811400000000001,0,0,0,2,0,0,0,0,0,0,0,0
Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,CCOP(=S)(OCC)SCSC(C)(C)C,0.2694371220710506,0.5052290262688,0.3219490843405364,1.1333333333333333,8.690757294942921,4.018684248799224,1.2771834334329897,1009.227143434273,9.015632649338864,0.0,0.0,5.693537600778055,0.0,0.0,0.0,0.0,11.761884949391115,9.831908043785129,13.213763929025836,39.365708451670685,18.298649519593404,0.0,0.0,20.85435041206228,0.0,4.74702245321756,13.213763929025836,5.084885590567569,11.38172479611316,25.609359348772365,20.771211599071872,11.345332813681027,-2.076226851851853,0.0,11.763125078735197,0.0,2,0,0,0,4.506300000000004,0,0,0,0,0,0,0,0,0,0,0,0
Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,0.3046815948601666,0.9039154808102652,0.4526336303845035,0.9090909090909092,5.871935445803004,1.9910569204245536,2.7408526259722885,83027.6268017394,4.51781464623879,5.749511833283905,0.0,0.0,0.0,12.18648014187683,9.589074368143644,0.0,0.0,17.441139617828735,7.109797541277533,6.923737199690624,17.743374749290194,20.963846917510768,5.749511833283905,4.736862953800049,6.923737199690624,0.0,17.12428438265103,5.563451491696996,24.26546827384644,25.122838405075456,15.37044016181271,9.66704253715784,2.142241933527073,0.3046815948601666,1.9290355763164204,1.2688280253206643,6,0,2,2,3.784220000000002,0,0,2,1,0,2,0,0,1,0,0,0
1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,Cc1cccc2c1Cc1ccccc1-2,1.1093055555555555,0.4958738530083486,0.0619392435289321,0.8571428571428571,5.771582654283627,2.325073944042764,3.0850063963475614,3513.4522632717685,0.9411945690810564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,6.4208216229260096,6.923737199690624,0.0,0.0,6.4208216229260096,0.0,0.0,49.38830667892189,0.0,7.246296296296297,0.0,2.1991203703703706,0.0,0,0,2,0,3.566220000000002,0,0,0,1,0,0,0,0,0,0,0,0
Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O,CCCCC=O,0.7326388888888888,0.3742788667470001,0.3034029096435604,1.6666666666666667,5.483940233996039,2.4884037718761123,0.6755286660229631,20.986300857070454,3.67,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,26.186202068468653,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,25.548625391907585,0.0,0.0,6.923737199690624,0.0,0.0,0.0,2.0729166666666665,0.0,1,0,0,0,1.3755,0,0,0,0,0,0,0,0,0,0,0,1
Diphenylamine,-3.857,2,169.227,1,2,2,12.03,-3.504,N(c1ccccc1)c2ccccc2,c1ccc(Nc2ccccc2)cc1,1.1191666666666669,0.7258030102508874,0.3555271921456535,0.5384615384615384,5.582914533668943,2.1614757505786617,1.836253271292093,1589.7182302135147,2.089799938442597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.374772549367124,0.0,0.0,5.316788604006331,11.374772549367124,0.0,0.0,0.0,0.0,0.0,11.374772549367124,0.0,60.6636706846161,5.316788604006331,0.0,2.238333333333334,0.0,0.0,0.0,1,0,2,1,3.430200000000001,0,0,0,0,0,0,0,0,0,0,2,0
Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,CN(C)C(=O)SCCCCOc1ccccc1,0.1194238344761431,0.7287642620112318,0.493601292269391,1.2352941176470589,8.130174066740198,2.0013910130846315,2.1412947708691186,6712.7363116445495,6.215565003902185,5.749511833283905,0.0,0.0,5.239211713172287,0.0,0.0,0.0,0.0,19.848197572101167,6.606881964512918,12.84164324585202,26.45507953661409,4.794537184071822,5.749511833283905,0.0,0.0,5.239211713172287,6.606881964512918,24.344008685882716,18.99525369620486,30.33183534230805,0.0,5.555887188208617,0.0,1.7632763815402706,0.7090556500377929,3.543347978080121,3,0,1,0,3.2604000000000024,0,0,1,0,0,1,0,0,0,0,1,3
Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,0.1681684618291765,0.5810206379914955,0.3392687087774449,1.2857142857142858,8.676232915744228,2.500832468781038,3.3765095971524737,39137.16475476925,6.998388582895046,0.0,0.0,11.60071733012956,0.0,0.0,0.0,0.0,0.0,12.586597235060536,18.966617535772624,58.917160542849885,25.5113739416852,0.0,0.0,25.648887596134102,0.0,5.907179729351506,25.008458364920585,32.22804289761662,0.0,18.74738413023173,6.923737199690624,11.482714632149158,-2.3746288816452505,0.5382541257243643,8.28581212037922,0.0,4,1,0,0,4.198300000000004,0,0,1,0,0,0,0,0,0,0,0,0
3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2,Clc1cccc(-c2ccccc2)c1,0.7790306122448982,0.6346172430604237,0.0843213956430221,0.6923076923076923,6.303900502196982,2.4751856733635376,1.9317399161842963,1420.6550069818122,1.9029597617496825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022633313741326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.586084805438322,0.0,36.39820241076966,18.19910120538483,0.0,2.3593518518518524,0.0,0.0,0.0,0,0,2,0,4.007000000000002,0,0,0,0,0,0,1,0,0,0,0,0
